Sample_name, Run_accession, Bioproject, homopolymer reported in https://doi.org/10.1038/srep38303
11168_H1,ERR516703,PRJEB3175, no
11168_H2,ERR516705,PRJEB3175, no
11168_H3,ERR516706,PRJEB3175, no
11168_R1,ERR516701,PRJEB3175, yes
11168_R2,ERR516702,PRJEB3175, yes
11168_R3,ERR516704,PRJEB3175, yes
17-14,ERR213047,PRJEB3175, yes
17-19,ERR213048,PRJEB3175, yes
17-34,ERR213049,PRJEB3175, yes
17-38,ERR213050,PRJEB3175, yes
17-48,ERR213051,PRJEB3175, yes
17-49,ERR213052,PRJEB3175, yes
19-36,ERR213055,PRJEB3175, yes
22-12,ERR213038,PRJEB3175, yes
38-14,ERR213039,PRJEB3175, yes
43-4,ERR213040,PRJEB3175, yes
50-10,ERR213061,PRJEB3175, yes
50-18,ERR213062,PRJEB3175, yes
50-19,ERR213063,PRJEB3175, yes
50-1,ERR213056,PRJEB3175, yes
51-31,ERR213068,PRJEB3175, yes
51-35,ERR213069,PRJEB3175, yes
51-39,ERR213070,PRJEB3175, yes
51-40,ERR213071,PRJEB3175, yes
51-41,ERR213072,PRJEB3175, yes
51-43,ERR213073,PRJEB3175, yes
53-23,ERR213080,PRJEB3175, yes
54-40,ERR213093,PRJEB3175, yes
54-43,ERR213094,PRJEB3175, yes
5-45,ERR213036,PRJEB3175, yes
55-49,ERR213110,PRJEB3175, yes
57-23,ERR213112,PRJEB3175, no
57-29,ERR213113,PRJEB3175, no
57-32,ERR213114,PRJEB3175, yes
57-33,ERR213115,PRJEB3175, yes
57-34,ERR213116,PRJEB3175, yes
57-36,ERR213117,PRJEB3175, no
57-37,ERR213118,PRJEB3175, no
57-38,ERR213119,PRJEB3175, no
57-39,ERR213120,PRJEB3175, no
57-40,ERR213121,PRJEB3175, no
57-41,ERR213122,PRJEB3175, no
6-1,ERR213030,PRJEB3175, no
62-5,ERR213041,PRJEB3175, yes
81116_H1,ERR467046,PRJEB3175, no
81116_H2,ERR467049,PRJEB3175, no
81116_H3,ERR467051,PRJEB3175, no
81116_R1,ERR467047,PRJEB3175, yes
81116_R2,ERR467048,PRJEB3175, yes
81116_R3,ERR467050,PRJEB3175, yes
81-176_H1,ERR467053,PRJEB3175, no
81-176_H2,ERR467055,PRJEB3175, no
81-176_H3,ERR467057,PRJEB3175, no
81-176_KR,ERR467052,PRJEB3175, yes
81-176_R2,ERR467054,PRJEB3175, yes
81-176_R3,ERR467056,PRJEB3175, yes
C_jejuni_M1cam_R100,ERR1701117,PRJEB16677, no
C_jejuni_M1cam_R101,ERR1701118,PRJEB16677, no
C_jejuni_M1cam_R10,ERR1701027,PRJEB16677, yes
C_jejuni_M1cam_R110,ERR1701127,PRJEB16677, no
C_jejuni_M1cam_R111,ERR1701128,PRJEB16677, no
C_jejuni_M1cam_R1,ERR1701018,PRJEB16677, yes
C_jejuni_M1cam_R21,ERR1701038,PRJEB16677, yes
C_jejuni_M1cam_R2,ERR1701019,PRJEB16677, yes
C_jejuni_M1cam_R30,ERR1701047,PRJEB16677, yes
C_jejuni_M1cam_R3,ERR1701020,PRJEB16677, yes
C_jejuni_M1cam_R40,ERR1701057,PRJEB16677, yes
C_jejuni_M1cam_R4,ERR1701021,PRJEB16677, yes
C_jejuni_M1cam_R50,ERR1701067,PRJEB16677, yes
C_jejuni_M1cam_R51,ERR1701068,PRJEB16677, yes
C_jejuni_M1cam_R5,ERR1701022,PRJEB16677, yes
C_jejuni_M1cam_R60,ERR1701077,PRJEB16677, yes
C_jejuni_M1cam_R6,ERR1701023,PRJEB16677, yes
C_jejuni_M1cam_R70,ERR1701087,PRJEB16677, yes
C_jejuni_M1cam_R7,ERR1701024,PRJEB16677, yes
C_jejuni_M1cam_R82,ERR1701099,PRJEB16677, yes
C_jejuni_M1cam_R88,ERR1701105,PRJEB16677, yes
H1,ERR417424,PRJEB3175, no
H2,ERR417428,PRJEB3175, no
H2_P1_R1,ERR516707,PRJEB3175, yes
H3,ERR417429,PRJEB3175, no
H4,ERR417430,PRJEB3175, no
H5,ERR467059,PRJEB3175, no
H5_P2_H1,ERR516700,PRJEB3175, no
H5_P2_R1,ERR516698,PRJEB3175, yes
H5_P2_R2,ERR516699,PRJEB3175, yes
H5_P4_H1,ERR516697,PRJEB3175, no
H5_P4_R1,ERR516696,PRJEB3175, yes
H6,ERR467061,PRJEB3175, no
H7,ERR467062,PRJEB3175, no
R1,ERR417423,PRJEB3175, yes
R2,ERR417425,PRJEB3175, yes
R3,ERR417426,PRJEB3175, yes
R4,ERR417427,PRJEB3175, yes
R5,ERR467058,PRJEB3175, yes
R6,ERR467060,PRJEB3175, yes
R7,ERR467063,PRJEB3175, yes
WT,ERR213027,PRJEB3175, no
Δ0159 H,ERR213028,PRJEB3175, yes
Δ0159 R,ERR213029,PRJEB3175, yes
